,index,Score
0,2018-01-31,1.4838709677419355
1,2018-03-21,0.9178082191780822
2,2018-05-02,0.875
3,2018-06-13,0.8676470588235294
4,2018-08-01,0.8488372093023255
5,2018-09-26,0.6867469879518072
6,2018-11-08,0.7
7,2018-12-19,0.5416666666666666
8,2019-01-30,0.5833333333333334
9,2019-03-20,0.6262626262626263
10,2019-05-01,0.6565656565656566
11,2019-06-19,0.4396551724137931
12,2019-07-31,0.6728971962616822
13,2019-09-18,0.39849624060150374
14,2019-10-30,0.4489795918367347
15,2019-12-11,0.7065217391304348
16,2020-01-29,0.7894736842105263
17,2020-03-15,0.37583892617449666
18,2020-04-29,0.3355263157894737
19,2020-06-10,0.6727272727272727
20,2020-07-29,0.5153846153846153
21,2020-09-16,1.0824742268041236
22,2020-11-05,0.5206611570247934
23,2020-12-16,0.8387096774193549
24,2021-01-27,0.8611111111111112
25,2021-03-17,1.2837837837837838
26,2021-04-28,0.9555555555555556
27,2021-06-16,0.989247311827957
28,2021-07-28,0.6330275229357798
29,2021-09-22,0.8020833333333334
30,2021-11-03,0.9069767441860465
31,2021-12-15,1.1125
32,2022-01-26,0.8783783783783784
33,2022-03-16,0.6483516483516484
34,2022-05-04,0.6842105263157895
35,2022-06-15,0.5566037735849056
36,2022-07-27,0.3968253968253968
37,2022-09-21,0.6082474226804123
38,2022-11-02,0.58
39,2022-12-14,0.5047619047619047
