,index,Score
0,2008-01-30,0.368
1,2008-03-18,0.3333333333333333
2,2008-04-30,0.4463519313304721
3,2008-08-05,0.2857142857142857
4,2008-09-16,0.3235294117647059
5,2008-10-29,0.2352941176470588
6,2008-12-16,0.2064516129032258
7,2009-01-28,0.2482598607888631
8,2009-03-18,0.2950819672131147
9,2009-04-29,0.5098039215686274
10,2009-06-24,0.5284552845528455
11,2009-08-12,0.6213592233009708
12,2009-09-23,0.84375
13,2009-11-04,0.7613636363636364
14,2009-12-16,0.8058252427184466
15,2010-01-27,0.7590361445783133
16,2010-03-16,0.7738095238095238
17,2010-04-28,0.5875
18,2010-06-23,0.5272727272727272
19,2010-08-10,0.5132743362831859
20,2010-09-21,0.4666666666666667
21,2010-11-03,0.6043956043956044
22,2010-12-14,0.6770833333333334
23,2011-01-26,0.6836734693877551
24,2011-03-15,0.7972972972972973
25,2011-04-27,0.6463414634146342
26,2011-06-22,0.2897196261682243
27,2011-08-09,0.3153153153153153
28,2011-09-21,0.3070866141732283
29,2011-11-02,0.4181818181818181
30,2011-12-13,0.3888888888888889
31,2012-01-25,0.6105263157894737
32,2012-03-13,0.8985507246376812
33,2012-04-25,0.7341772151898734
34,2012-06-20,0.3307086614173228
35,2012-08-01,0.4117647058823529
36,2012-09-13,0.5045871559633027
37,2012-10-24,0.5444444444444444
38,2012-12-12,0.4038461538461538
39,2013-01-30,0.948051948051948
40,2013-03-20,0.7906976744186046
41,2013-05-01,0.725
42,2013-06-19,0.6363636363636364
43,2013-07-31,0.8732394366197183
44,2013-09-18,0.4883720930232558
45,2013-10-30,0.6329113924050633
46,2013-12-18,1.0
47,2014-01-29,1.1044776119402986
48,2014-03-19,0.6043956043956044
49,2014-04-30,0.7903225806451613
50,2014-06-18,0.9428571428571428
51,2014-07-30,0.875
52,2014-09-17,0.6086956521739131
53,2014-10-29,0.6923076923076923
54,2014-12-17,0.8787878787878788
55,2015-01-28,0.6534653465346535
56,2015-03-18,0.7368421052631579
57,2015-04-29,0.4137931034482758
58,2015-06-17,1.0285714285714285
59,2015-07-29,0.6847826086956522
60,2015-09-17,0.7127659574468085
61,2015-10-28,0.4770642201834862
62,2015-12-16,0.6989247311827957
63,2016-01-27,0.4339622641509434
64,2016-03-16,0.5794392523364486
65,2016-04-27,0.6837606837606838
66,2016-06-15,0.6213592233009708
67,2016-07-27,0.7065217391304348
68,2016-09-21,0.7099236641221374
69,2016-11-02,0.7777777777777778
70,2016-12-14,0.9397590361445785
71,2017-02-01,0.9382716049382716
72,2017-03-15,0.8591549295774648
73,2017-05-03,0.6481481481481481
74,2017-06-14,0.7640449438202247
75,2017-07-26,0.6585365853658537
76,2017-09-20,0.5714285714285714
77,2017-11-01,0.7912087912087912
78,2017-12-13,1.0597014925373134
79,2018-01-31,1.4838709677419355
80,2018-03-21,0.9178082191780822
81,2018-05-02,0.875
82,2018-06-13,0.8676470588235294
83,2018-08-01,0.8488372093023255
84,2018-09-26,0.6867469879518072
85,2018-11-08,0.7
86,2018-12-19,0.5416666666666666
87,2019-01-30,0.5833333333333334
88,2019-03-20,0.6262626262626263
89,2019-05-01,0.6565656565656566
90,2019-06-19,0.4396551724137931
91,2019-07-31,0.6728971962616822
92,2019-09-18,0.3984962406015037
93,2019-10-30,0.4489795918367347
94,2019-12-11,0.7065217391304348
95,2020-01-29,0.7894736842105263
96,2020-03-15,0.3758389261744966
97,2020-04-29,0.3355263157894737
98,2020-06-10,0.6727272727272727
99,2020-07-29,0.5153846153846153
100,2020-09-16,1.0824742268041236
101,2020-11-05,0.5206611570247934
102,2020-12-16,0.8387096774193549
103,2021-01-27,0.8611111111111112
104,2021-03-17,1.2837837837837838
105,2021-04-28,0.9555555555555556
106,2021-06-16,0.989247311827957
107,2021-07-28,0.6330275229357798
108,2021-09-22,0.8020833333333334
109,2021-11-03,0.9069767441860463
110,2021-12-15,1.1125
111,2022-01-26,0.8783783783783784
112,2022-03-16,0.6483516483516484
113,2022-05-04,0.6842105263157895
114,2022-06-15,0.5566037735849056
115,2022-07-27,0.3968253968253968
116,2022-09-21,0.6082474226804123
117,2022-11-02,0.58
118,2022-12-14,0.5047619047619047
119,2023-02-01,0.5
120,2023-03-22,0.5529411764705883
121,2023-05-03,0.4786324786324786
122,2023-06-14,0.8783783783783784
