,index,Score
0,2014-01-29,1.1044776119402986
1,2014-03-19,0.6043956043956044
2,2014-04-30,0.7903225806451613
3,2014-06-18,0.9428571428571428
4,2014-07-30,0.875
5,2014-09-17,0.6086956521739131
6,2014-10-29,0.6923076923076923
7,2014-12-17,0.8787878787878788
8,2015-01-28,0.6534653465346535
9,2015-03-18,0.7368421052631579
10,2015-04-29,0.41379310344827586
11,2015-06-17,1.0285714285714285
12,2015-07-29,0.6847826086956522
13,2015-09-17,0.7127659574468085
14,2015-10-28,0.47706422018348627
15,2015-12-16,0.6989247311827957
16,2016-01-27,0.4339622641509434
17,2016-03-16,0.5794392523364486
18,2016-04-27,0.6837606837606838
19,2016-06-15,0.6213592233009708
20,2016-07-27,0.7065217391304348
21,2016-09-21,0.7099236641221374
22,2016-11-02,0.7777777777777778
23,2016-12-14,0.9397590361445783
24,2017-02-01,0.9382716049382716
25,2017-03-15,0.8591549295774648
26,2017-05-03,0.6481481481481481
27,2017-06-14,0.7640449438202247
28,2017-07-26,0.6585365853658537
29,2017-09-20,0.5714285714285714
30,2017-11-01,0.7912087912087912
31,2017-12-13,1.0597014925373134
